FeatureCode,DateCode,Measurement,Units,Value,Gender,Working Pattern,Population Group
S12000036,2005,Median,Pounds (GBP),495.4,Male,Full Time,Residence Based
S12000017,2008,Mean,Pounds (GBP),534.3,Male,Full Time,Workplace Based
S12000036,2005,Mean,Pounds (GBP),573.7,Male,Full Time,Residence Based
S12000017,2008,Median,Pounds (GBP),463.5,Male,Full Time,Workplace Based
S92000003,2000,Mean,Pounds (GBP),434.5,Male,Full Time,Workplace Based
S12000021,2013,Median,Pounds (GBP),529.7,Male,Full Time,Residence Based
S92000003,1999,Median,Pounds (GBP),370,Male,Full Time,Workplace Based
S92000003,1999,Mean,Pounds (GBP),421.7,Male,Full Time,Workplace Based
S12000019,2005,Mean,Pounds (GBP),491.9,Male,Full Time,Residence Based
S12000018,2008,Median,Pounds (GBP),432.9,Male,Full Time,Workplace Based
S12000029,2012,Median,Pounds (GBP),550.3,Male,Full Time,Residence Based
S92000003,2004,Median,Pounds (GBP),427.4,Male,Full Time,Workplace Based
S12000013,2013,Mean,Pounds (GBP),556.2,Male,Full Time,Residence Based
S12000013,2013,Median,Pounds (GBP),544.3,Male,Full Time,Residence Based
S12000014,2008,Median,Pounds (GBP),463.2,Male,Full Time,Workplace Based
S12000019,2005,Median,Pounds (GBP),389.8,Male,Full Time,Residence Based
S12000021,2013,Mean,Pounds (GBP),601.8,Male,Full Time,Residence Based
S92000003,1998,Median,Pounds (GBP),357.1,Male,Full Time,Workplace Based
S12000028,2013,Mean,Pounds (GBP),655.3,Male,Full Time,Residence Based
S12000041,2005,Median,Pounds (GBP),438,Male,Full Time,Residence Based
S92000003,1997,Median,Pounds (GBP),340.8,Male,Full Time,Workplace Based
S12000028,2013,Median,Pounds (GBP),562.6,Male,Full Time,Residence Based
S92000003,2003,Median,Pounds (GBP),419.2,Male,Full Time,Workplace Based
S92000003,1997,Mean,Pounds (GBP),387.1,Male,Full Time,Workplace Based
S12000034,2008,Median,Pounds (GBP),530.1,Male,Full Time,Workplace Based
S12000029,2013,Mean,Pounds (GBP),642.9,Male,Full Time,Residence Based
S92000003,2000,Median,Pounds (GBP),380.5,Male,Full Time,Workplace Based
S12000034,2008,Mean,Pounds (GBP),604.4,Male,Full Time,Workplace Based
S92000003,1998,Mean,Pounds (GBP),406.9,Male,Full Time,Workplace Based
S92000003,2003,Mean,Pounds (GBP),498.5,Male,Full Time,Workplace Based
S12000029,2013,Median,Pounds (GBP),558.1,Male,Full Time,Residence Based
S12000041,2005,Mean,Pounds (GBP),515.8,Male,Full Time,Residence Based
S12000040,2012,Median,Pounds (GBP),515.8,Male,Full Time,Residence Based
S12000014,2009,Median,Pounds (GBP),497.8,Male,Full Time,Workplace Based
S12000017,2005,Median,Pounds (GBP),405.7,Male,Full Time,Residence Based
S12000014,2009,Mean,Pounds (GBP),545.9,Male,Full Time,Workplace Based
S12000040,2012,Mean,Pounds (GBP),713,Male,Full Time,Residence Based
S12000039,2012,Median,Pounds (GBP),516.4,Male,Full Time,Residence Based
S92000003,2006,Mean,Pounds (GBP),547.7,Male,Full Time,Workplace Based
S92000003,2006,Median,Pounds (GBP),464.5,Male,Full Time,Workplace Based
S12000045,2009,Median,Pounds (GBP),526.4,Male,Full Time,Workplace Based
S12000045,2009,Mean,Pounds (GBP),574.9,Male,Full Time,Workplace Based
S12000035,2008,Median,Pounds (GBP),500.9,Male,Full Time,Workplace Based
S12000035,2008,Mean,Pounds (GBP),553.5,Male,Full Time,Workplace Based
S12000033,2013,Mean,Pounds (GBP),742.6,Male,Full Time,Residence Based
S12000033,2013,Median,Pounds (GBP),589.8,Male,Full Time,Residence Based
S12000017,2005,Mean,Pounds (GBP),493.5,Male,Full Time,Residence Based
S12000011,2009,Median,Pounds (GBP),433.1,Male,Full Time,Workplace Based
S92000003,2002,Median,Pounds (GBP),414.4,Male,Full Time,Workplace Based
S12000018,2005,Mean,Pounds (GBP),504.3,Male,Full Time,Residence Based
S12000030,2012,Median,Pounds (GBP),556.6,Male,Full Time,Residence Based
S92000003,2001,Mean,Pounds (GBP),457.2,Male,Full Time,Workplace Based
S92000003,2001,Median,Pounds (GBP),398.2,Male,Full Time,Workplace Based
S12000029,2012,Mean,Pounds (GBP),614.4,Male,Full Time,Residence Based
S92000003,2002,Mean,Pounds (GBP),485.1,Male,Full Time,Workplace Based
S12000047,2005,Median,Pounds (GBP),450,Male,Full Time,Residence Based
S12000010,2009,Mean,Pounds (GBP),534.3,Male,Full Time,Workplace Based
S12000018,2005,Median,Pounds (GBP),418.6,Male,Full Time,Residence Based
S12000028,2005,Mean,Pounds (GBP),546.8,Male,Full Time,Residence Based
S12000028,2005,Median,Pounds (GBP),489.7,Male,Full Time,Residence Based
S12000039,2012,Mean,Pounds (GBP),609.2,Male,Full Time,Residence Based
S12000030,2012,Mean,Pounds (GBP),839.9,Male,Full Time,Residence Based
